"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Oct 16 19:46:35 UTC 2025","Thu Oct 16 19:46:35 UTC 2025","186","","com.github.eneco.tests.bookings.GetBookingIdsTest","","com.github.eneco.tests.bookings.GetBookingIdsTest","getBookingIdsByDifferentQueryParamsTest","Get booking ids based on the combinations of query params: firstname, lastname, checkin date [2] {firstname=Albert, checkin=2020-01-01}",""
"passed","Thu Oct 16 19:46:39 UTC 2025","Thu Oct 16 19:46:40 UTC 2025","697","","com.github.eneco.tests.bookings.PatchBookingTest","","com.github.eneco.tests.bookings.PatchBookingTest","partiallyUpdateBookingWithValidFirstnameTest","Partially update booking with valid firstname",""
"skipped","Thu Oct 16 19:46:33 UTC 2025","Thu Oct 16 19:46:33 UTC 2025","0","","com.github.eneco.tests.bookings.GetBookingIdsTest","","com.github.eneco.tests.bookings.GetBookingIdsTest","getBookingIdsByCheckoutTest","DISABLED - Get booking ids where checkout dates is equal or later than the specific existing date",""
"passed","Thu Oct 16 19:46:35 UTC 2025","Thu Oct 16 19:46:36 UTC 2025","337","","com.github.eneco.tests.bookings.GetBookingIdsTest","","com.github.eneco.tests.bookings.GetBookingIdsTest","getBookingIdsByFirstnameTest","Get booking ids based on the specific existing firstname Get ids by firstname = Anchal",""
"failed","Thu Oct 16 19:46:35 UTC 2025","Thu Oct 16 19:46:35 UTC 2025","178","","com.github.eneco.tests.bookings.GetBookingIdsTest","","com.github.eneco.tests.bookings.GetBookingIdsTest","getBookingIdsByDifferentQueryParamsTest","Get booking ids based on the combinations of query params: firstname, lastname, checkin date [4] {lastname=Brown, checkin=2001-12-01, firstname=Charlie}",""
"passed","Thu Oct 16 19:46:45 UTC 2025","Thu Oct 16 19:46:45 UTC 2025","180","","com.github.eneco.tests.e2e.UpdateBookingE2ETest","","com.github.eneco.tests.e2e.UpdateBookingE2ETest","createToken","Create token and authenticate",""
"passed","Thu Oct 16 19:46:41 UTC 2025","Thu Oct 16 19:46:42 UTC 2025","679","","com.github.eneco.tests.bookings.PatchBookingTest","","com.github.eneco.tests.bookings.PatchBookingTest","partiallyUpdateBookingWithValidTotalPriceValueTest","Partially update booking with valid total price",""
"passed","Thu Oct 16 19:46:32 UTC 2025","Thu Oct 16 19:46:33 UTC 2025","807","","com.github.eneco.tests.bookings.CreateBookingTest","","com.github.eneco.tests.bookings.CreateBookingTest","createBookingWithValidData","Create booking with valid data",""
"passed","Thu Oct 16 19:46:33 UTC 2025","Thu Oct 16 19:46:34 UTC 2025","374","","com.github.eneco.tests.bookings.GetBookingIdsTest","","com.github.eneco.tests.bookings.GetBookingIdsTest","getBookingIdsByCheckinTest","Get booking ids where checkin dates is equal or later than the specific existing date Get ids by checkin date => 2025-01-10",""
"passed","Thu Oct 16 19:46:45 UTC 2025","Thu Oct 16 19:46:45 UTC 2025","465","","com.github.eneco.tests.bookings.GetBookingTest","","com.github.eneco.tests.bookings.GetBookingTest","getExistingBookingTest","Get booking based on the existing id",""
"passed","Thu Oct 16 19:46:46 UTC 2025","Thu Oct 16 19:46:46 UTC 2025","168","","com.github.eneco.tests.e2e.UpdateBookingE2ETest","","com.github.eneco.tests.e2e.UpdateBookingE2ETest","updateBookingWithDepositPaid","Update deposit paid flag after customer paid the deposit",""
"passed","Thu Oct 16 19:46:41 UTC 2025","Thu Oct 16 19:46:41 UTC 2025","665","","com.github.eneco.tests.bookings.PatchBookingTest","","com.github.eneco.tests.bookings.PatchBookingTest","partiallyUpdateBookingWithValidCheckinDateTest","Partially update booking with valid checkin date",""
"failed","Thu Oct 16 19:46:36 UTC 2025","Thu Oct 16 19:46:36 UTC 2025","253","","com.github.eneco.tests.bookings.GetBookingIdsTest","","com.github.eneco.tests.bookings.GetBookingIdsTest","getBookingIdsByLastnameTest","Get booking ids based on the specific existing lastname Get ids by lastname = ",""
"failed","Thu Oct 16 19:46:42 UTC 2025","Thu Oct 16 19:46:43 UTC 2025","660","","com.github.eneco.tests.bookings.PutBookingTest","","com.github.eneco.tests.bookings.PutBookingTest","updateBookingUsingInvalidDataTest","Update booking using invalid dates data",""
